"drink type","identifier","current jar","name","manufacturer","description","grams of tea","grams of water","brewwing temperature","steeping time","brewing method","type of tea","in stock"
"Loose-leaf tea","11","11","Mango Tango","The Tea Spot","Our fresh take on the classic tradition of flavored black teas. Crisp Ceylon black tea with passion fruit & mango creates a light & fruity combination that's great any time of year. Brews into a deep, reddish liquor with a heady, bright aroma that delights hot or iced.","3.0","300.0","99","4 to 5","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","12","12","Strawberry Fields","The Tea Spot","Just like The Beatles' song, this whimsical herbal tea will soothe & delight the soul. The blend of fruits & flowers is perfect for the whole family, and makes a great iced tea. You can add sweetener to further accent the fruit flavors or drink it sans sugar for a more crisp cup.","3.0","300.0","99","6+","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
"Loose-leaf tea","13","13","Pomegranate","Storehouse Tea","The taste of sweet and tart pomegranates combined with the rare white tea are popular for their antioxidant content and low caffeine.","1.8","300.0","85","3 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","White","true"
"Loose-leaf tea","14","14","Citron Jasmine","Storehouse Tea","Organic jasmine green tea blended with green rooibos, infused with essential citrus oils, lemon grass and lemon myrtle. A smooth, soothing, citrus jasmine tea.","1.5","300.0","80","3 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Green","true"
"Loose-leaf tea","15","15","English Breakfast","Storehouse Tea","Our traditional English Breakfast is a bold Assam tea from India, rich and full bodied, great for early mornings.","2.4","300.0","90","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","16","16","Apricot Oolong","Storehouse Tea","Delicate green oolong infused with the freshness of sweet apricots, smooth, fruity and floral. Prized for its antioxidant content and metabolism-boosting properties.","3.0","300.0","99","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Oolong","true"
"Loose-leaf tea","17","17","Indian Masala Chai","Storehouse Tea","A robust and classic full flavored black tea blended with traditional whole Indian Masala spices. Indian Masala Chai should be brewed strong and served sweet with milk.","2.4","300.0","90","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","18","18","Zesty Ginger Lime","Storehouse Tea","Organic Green Rooibos combined with zesty citrus and ginger is refreshing and thirst quenching, excellent iced. Stimulating yet caffeine-free, contains antioxidants.","1.5","300.0","80","3 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Rooibos","true"
"Loose-leaf tea","19","19","Apricot Blend","Storehouse Tea","A delicious blend of organic Fair Trade black tea, and Sencha green tea combined with sweet apricot flavor, creates a medium bodied smooth tea with a wonderful fruity finish. This tea is delicious both hot and iced.","2.4","300.0","90","2 to 3","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Black","true"
"Loose-leaf tea","20","20","Elderberry Blend","Storehouse Tea","This succulent blend of Caffeine Free herbs and fruits imparts a refreshing deep berry flavor, tart with a subtle sweetness. Contains powerful andti-oxidants which may help expel toxins, resolve sore throats, and shorten the flu cycle.","3.0","300.0","99","6+","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
"Loose-leaf tea","21","21","Mint Green Tea","French Creek Coffee and Tea","N/A","1.5","300.0","80","3 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Green","true"
"Loose-leaf tea","22","22","Tangerine White","French Creek Coffee and Tea","N/A","1.8","300.0","85","4 to 4","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","White","true"
"Loose-leaf tea","23","23","Honeybush Herbal","French Creek Coffee and Tea","N/A","3.0","300.0","99","6+","Add the loose leaf tea to a brewing vessel, add heated water to the vessel and cover. Let steep for the denoted time. When time is done, strain off the large particles and enjoy.","Herbal","true"
